name,city,sector
Vanelli Tekstil Sanayi ve Tic. A.Ş.,Bursa,Tekstil
Cemer Kent Ekipmanları San. ve Tic. A.Ş.,İzmir,İmalat Sanayi
Arçelik A.Ş.,İstanbul,Dayanıklı Tüketim Malları
Enka İnşaat ve Sanayi Anonim Şirketi,İstanbul,İnşaat
Çilek Mobilya Anonim Şirketi,Bursa,Mobilya
Hidropar İzmir Hidrolik Elektronik Makine Aksamı Donanımları Pazarlama Sanayi ve Ticaret Anonim Şirketi,İzmir,Makine ve Teçhizat İmalatı
Kadifeteks Mensucat San. A.Ş.,İstanbul,Tekstil
Çeksan Yol Süpürme Araçları Makina Sanayi ve Ticaret A.Ş.,İzmir,İmalat Sanayi
Tron Elektronik Sistemler Sanayi ve Ticaret Anonim Şirketi,İstanbul,Telekomünikasyon
Plascam Plastik Oto Cam Sanayi Ticaret A.Ş.,Kocaeli,Otomotiv Tasarımı ve Mühendislik
Aytek Soğutma İç ve Dış Tic. A.Ş.,İstanbul,Makine ve Teçhizat İmalatı
İnova Koltuk Sistemleri Araç Tas. Otomotiv San. ve Tic. A.Ş.,Bursa,Otomotiv Yan Sanayi
Deniz Tekstil San. ve Tic. A.Ş.,Denizli,Tekstil
Mdk Makina Dizayn Kalıp San. ve Tic. A.Ş.,İzmir,Makine ve Teçhizat İmalatı
Vakko Tekstil ve Hazır Giyim Sanayi İşletmeleri A.Ş.,İstanbul,Tekstil
Fatih Profil San. ve Tic. A.Ş.,Denizli,Demir ve Demir Dışı Metaller
Kasktaş Kayar Kalıp Altyapı Sondaj Kazık ve Tecrit Anonim Şirketi,İstanbul,İnşaat
Nesan Otomotiv Anonim Şirketi,İzmir,Otomotiv Yan Sanayi
Aisin Otomotiv Parçaları San. Tic. A.Ş.,İstanbul,Otomotiv Yan Sanayi
Akgün Elektrik Elektronik Mühendislik Taahhütlük San. Tic. Ltd. Şti.,Denizli,Enerji
Beyçelik Gestamp Otomotiv Sanayi A. Ş.,Bursa,Otomotiv Yan Sanayi
Birim Makina Sanayi ve Ticaret A.Ş.,İzmir,Makine ve Teçhizat İmalatı
Arketipo Design İç Mimarlık Uyg. ve Dan. A.Ş.,İstanbul,İnşaat
Denizli Rateks Tekstil San. Tic. A.Ş.,Denizli,Tekstil
Koton Mağazacılık Tekstil Sanayi ve Ticaret Anonim Şirketi,İstanbul,Tekstil
