name,city,sector
2m Kablo Sanayi ve Ticaret A.Ş.,Tekirdağ,Elektronik
3BFAB Teknoloji Anonim Şirketi,İstanbul,Makine ve Teçhizat İmalatı
3E Elektro Optik Sistemler Sanayi ve Ticaret Anonim Şirketi,Ankara,Savunma Sanayi
3EN Savunma ve Havacılık Sistemleri A.Ş.,Ankara,Savunma Sanayi
3-S Mühendislik Müşavirlik San. ve Tic. A.Ş.,Düzce,Kimya
4A Labs Teknoloji Bilişim ve Görsel Danışmanlık Sanayi ve Ticaret A.Ş.,Ankara,Bilgisayar ve İletişim Teknolojileri
Abalıoğlu Lezita Gıda Sanayi A.Ş.,İzmir,Gıda Sanayi
Abc Deterjan San. ve Tic. A.Ş.,Osmaniye,Kozmetik ve Temizlik Ürünleri
Abdi İbrahim İlaç Sanayi ve Ticaret A.Ş. (Abdibio Şubesi),İstanbul,İlaç
Abdi İbrahim İlaç Sanayi ve Ticaret A.Ş. (Esenyurt Şubesi),İstanbul,İlaç
Abdulkadir Özcan Otomotiv Lastik Sanayi Ve Ticaret Anonim Şirketi,Çankırı,Otomotiv Yan Sanayi
Achitex Minerva Kimya Ltd. Şti.,İstanbul,Kimya
Acıbadem Teknoloji Anonim Şirketi,İstanbul,Yazılım
Adel Kalemcilik Ticaret Ve Sanayi Anonim Şirketi,Kocaeli,Kimya
Adesso Turkey Bilgi Teknolojileri Ltd. Şti.,İstanbul,Bilgisayar ve İletişim Teknolojileri
Adm Elektrik Dağıtım Anonim Şirketi,Denizli,Enerji
"Adresgezgini Yazılım, Bilişim, İletişim ve Reklam Hizmetleri San. ve Tic. A.Ş.",İzmir,Bilgisayar ve İletişim Teknolojileri
Adrossen Tarım San. Ve Tic. A.Ş.,Antalya,Tarım
Aep Anadolu Etap Penkon Gıda ve Tarım Ürünleri San. ve Tic. A.Ş.,Balıkesir,Tarım
AGM Teknoloji Yatırım Sanayi Ticaret A.Ş.,İstanbul,Telekomünikasyon
AGRA Fintech Yazılım Çözümleri A.Ş.,İstanbul,Yazılım
Agromar Marmara Tarım Ürünleri San. ve Tic. A.Ş.,Bursa,Tarım
Ağaoğlu Tekstil San. ve Tic. A.Ş.,Uşak,Tekstil
Ağteks Örme Ve Tekstil Endüstrileri Sanayi Ve Ticaret Limited Şirketi,İstanbul,Makine ve Teçhizat İmalatı
Airties Kablosuz İletişim San. ve Dış Ticaret A.Ş. (İzmir),İzmir,Telekomünikasyon
Airties Kablosuz İletişim Sanayi ve Dış Ticaret A.Ş. (İstanbul),İstanbul,Bilgisayar ve İletişim Teknolojileri
Ak Doruk Makine İnşaat Nakliye San. Ve Tic. Ltd. Şti.,Bursa,Otomotiv Yan Sanayi
Ak Gıda San. Tic. A.Ş.,Sakarya,Gıda Sanayi
Aka Otomotiv Sanayi Ve Ticaret A.Ş.,Bursa,Otomotiv Yan Sanayi
Akademi Çevre Entegre Atık Yönetimi Endüstri Anonim Şirketi,İstanbul,Geri Dönüşüm
Akana Mühendislik ve Ticaret A.Ş.,Ankara,Savunma Sanayi
Akbaşlar Tekstil Enerji San. ve Tic. A.Ş.,Bursa,Tekstil
Akcoat İleri Kimyasal Kaplama Malzemeleri San. ve Tic. A.Ş.,Sakarya,Kimya
Akdaş Döküm San. Ve Tic. A.Ş.,Ankara,Dökümcülük
Akdaş Silah Anonim Şirketi,Konya,İmalat Sanayi
Akdeniz Chemson Kimya San. Ve Tic. A.Ş.,İzmir,Kimya
Ake Asansör Mlz. Paz. Ltd. Şti.,Antalya,Makine ve Teçhizat İmalatı
Akedaş Elektrik Dağıtım Anonim Şirketi,Kahramanmaraş,Enerji
Akgün Bilgisayar Program Ve Hizmetleri Sanayi Ticaret Anonim Şirketi,Ankara,Yazılım
Akım Metal Sanayi Ve Ticaret A.Ş.,İstanbul,İmalat Sanayi
Akın Yazılım Bilgisayar İthalat İhracat Sanayi ve Ticaret Limited Şirketi,Konya,Makine ve Teçhizat İmalatı
Akkim Kimya Sanayi ve Ticaret A.Ş.,Yalova,Kimya
Akkim Yapı Kimyasalları San. ve Tic. A.Ş.,İstanbul,Kimya
Akko Makina Sanayi ve Ticaret Anonim Şirketi,Konya,Makine ve Teçhizat İmalatı
Akpa Kimya Ambalaj San. ve Tic. A.Ş.,Tekirdağ,Kimya
Ak-Pres Metal Yedek Parça Makine Sanayi ve Ticaret Anonim Şirketi,Sakarya,Otomotiv Yan Sanayi
Aksa Akrilik Kimya San. A.Ş.,Yalova,Tekstil
Aksa Jeneratör San. A.Ş.,Tekirdağ,Enerji
Aksuvital Doğal Ürünler Gıda San. Ve Tic. A.Ş.,İstanbul,Gıda Sanayi
Aktaş Hava Süspansiyon Sistemleri Sanayi ve Ticaret A.Ş.,Bursa,Otomotiv Yan Sanayi
Aktif Yatırım Bankası A.Ş.,İstanbul,Bankacılık ve Finans
Akyapak Uluslararası Dış Tic. Makina San. ve Tic. A.Ş.,Bursa,Makine ve Teçhizat İmalatı
Akzo Nobel Server Boya Sanayi ve Ticaret Anonim Şirketi,Kocaeli,Kimya
Akzonobel Kemipol A.Ş.,İzmir,Kimya
Alapala Makina Gıda San. ve Tic. A.Ş.,Çorum,Makine ve Teçhizat İmalatı
Alarko Carrier Sanayi ve Ticaret A.Ş.,Kocaeli,İklimlendirme
Alfa Kimya Anonim Şirketi,İstanbul,Kimya
Algoritma Donanım ve Yazılım Anonim Şirketi,İstanbul,Yazılım
Alışan Lojistik A.Ş. (İstanbul),İstanbul,Ulaştırma ve Lojistik
Ali Raif İlaç Sanayi A.Ş.,İstanbul,İlaç
Alkın Kompresör San. ve Tic. Ltd. Şti.,İzmir,Makine ve Teçhizat İmalatı
Al-kor Makine Kalıp Sanayi Ve Ticaret A.Ş.,İstanbul,Otomotiv Yan Sanayi
Almaxtex Tekstil Sanayi ve Ticaret A.Ş.,Bursa,Tekstil
AloTech İletişim Teknolojileri Ticaret A.Ş.,İstanbul,Yazılım
Alp Havacılık Sanayi ve Ticaret A.Ş.,Eskişehir,Havacılık
Alpler Ziraat Aletleri San. ve Tic. A.Ş.,Aydın,Makine ve Teçhizat İmalatı
Alpplas Endüstriyel Yatırımlar A.Ş.,İstanbul,Elektronik
Altan Hidrolik Mühendislik San. ve Tic. A.Ş.,İstanbul,Makine ve Teçhizat İmalatı
Altay Yazılım Savunma Endüstriyel Sanayi ve Ticaret A.Ş.,Ankara,Yazılım
Altınay Robot Teknolojileri San.ve Tic. A.Ş.,İstanbul,Makine ve Teçhizat İmalatı
Altıparmak Gıda San. ve Tic. A.Ş.,İstanbul,Gıda Sanayi
Altium International Laboratuvar Cihazları A.Ş.,İstanbul,Kimya
Amadeus Bilgi Teknolojisi Hizmetleri Anonim Şirketi,İstanbul,Yazılım
Amatis Bilgi Teknolojileri Anonim Şirketi,İzmir,Yazılım
Anadolu Ajansı Türk A.Ş.,Ankara,Medya ve İletişim
Anadolu Anonim Türk Sigorta Şirketi,İstanbul,Bankacılık ve Finans
Anadolu Etap Penkon Gıda ve İçecek Ürünleri Sanayi ve Ticaret Anonim Şirketi,Mersin,Gıda Sanayi
Anadolu Isuzu Otomotiv Sanayi ve Ticaret A.Ş.,Kocaeli,Otomotiv
Anadolu Motor Üretim ve Pazarlama A.Ş.,Kocaeli,Makine ve Teçhizat İmalatı
Analythinx Bilişim Hizmetleri Ticaret Anonim Şirketi,İstanbul,Yazılım
Anamas Tarım Üretim Pazarlama San. Tic. Ltd. Şti.,Antalya,Tarım
Anatolia Tanı Ve Biyoteknoloji Ürünleri Araştırma Geliştirme Sanayi Ve Ticaret A.Ş.,İstanbul,Sağlık
Andromeda Tv Dijital Platform İşletmeciliği A.Ş.,İstanbul,Medya ve İletişim
Angst Pfister Gelişmiş Teknik Çözümler A.Ş.,Bursa,Otomotiv Yan Sanayi
Ankara Seramik Porselen Sanayi ve Ticaret A.Ş.,Ankara,Seramik ve Refrakter
Ankutsan Antalya Kutu Sanayi Oluklu Mukavva Kağıt Ticaret A.Ş.,Antalya,Kağıt ve Kağıt Ürünleri
Anlaş Anadolu Lastik Sanayi ve Ticaret Anonim Şirketi,Düzce,Lastik-Plastik-Kauçuk
Antalya Tarım Üretim Danışmanlık ve Pazarlama A.Ş.,Antalya,Tarım
A-plas Genel Otomotiv Mamülleri San. ve Tic. A.Ş.,Bursa,Otomotiv Yan Sanayi
Apsiyon Bilişim Sistemleri Sanayi ve Ticaret A.Ş.,İstanbul,Yazılım
Arabam Com İnternet ve Bilgi Hizmetleri Anonim Şirketi,İstanbul,Bilgisayar ve İletişim Teknolojileri
Archem Sağlık Sanayi ve Ticaret A.Ş.,İstanbul,Sağlık
"Arçelik A.Ş. (Dijital Dönüşüm, Büyük Veri Ve Yapay Zeka)",İstanbul,Dayanıklı Tüketim Malları
Arçelik A.Ş. (ODTÜ Teknokent),Ankara,Dayanıklı Tüketim Malları
Arçelik A.Ş. Ar-Ge Direktörlüğü,İstanbul,Dayanıklı Tüketim Malları
Arçelik A.Ş. Bulaşık Makinası İşletmesi,Ankara,Dayanıklı Tüketim Malları
Arçelik A.Ş. Buzdolabı Ve Kompresör İşletmesi,Eskişehir,Dayanıklı Tüketim Malları
Arçelik A.Ş. Elektronik İşletmesi,Tekirdağ,Elektronik
Arçelik A.Ş. Kurutma Makinası İşletmesi,Tekirdağ,Dayanıklı Tüketim Malları
Arçelik A.Ş. Küçük Ev Aletleri İşletmesi,İstanbul,Dayanıklı Tüketim Malları
Arçelik A.Ş. Manisa İşletmesi,Manisa,Dayanıklı Tüketim Malları
